_id,,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,Variação Preço,Rentab.Período,Rentab.Acumulada,Rentab. Patr,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
63137055d2449664b675fdd0,0,FIVN11,Shoppings,"R$ 2,62",68087,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",[object Object],"R$ 65.531.708,68","R$ 6,96",38,"56,00%",1
63137055d2449664b675fdd1,1,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%",[object Object],"R$ 439.856.409,07","R$ 10,80",136,,0
63137055d2449664b675fdd2,2,XTED11,Lajes Corporativas,"R$ 6,40",6936,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%",[object Object],"R$ 27.172.278,20","R$ 13,83",46,"0,00%",1
63137055d2449664b675fdd3,3,ALMI11,Lajes Corporativas,"R$ 850,00",32,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%",[object Object],"R$ 249.878.508,15","R$ 2.247,57",38,"64,05%",1
63137055d2449664b675fdd4,4,PABY11,Híbrido,"R$ 9,58",213,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%",[object Object],"R$ -10.622.559,80","R$ -14,01",-68,,1
63137055d2449664b675fdd5,5,ORPD11,Títulos e Val. Mob.,"R$ 93,00",3,"R$ 1,38",,,,,,,,,,,[object Object],"R$ 43.445.940,90","R$ 149,81",62,,0
63137055d2449664b675fdd6,6,FISC11,Lajes Corporativas,"R$ 165,00",200,"R$ 0,22","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",[object Object],"R$ 195.700.769,40","R$ 115,12",143,,0
63137055d2449664b675fdd7,7,ATSA11,Shoppings,"R$ 84,84",116,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,74%","0,92%","1,10%",[object Object],"R$ 157.482.761,24","R$ 89,93",94,"21,90%",1
63137055d2449664b675fdd8,8,CXTL11,Logística,"R$ 351,00",18,"R$ 0,48","0,16%","0,67%","1,29%","0,00%","0,22%","0,22%","0,00%","-6,12%","-5,97%","-5,73%",[object Object],"R$ 37.634.810,74","R$ 702,18",50,"61,00%",3
63137055d2449664b675fdd9,9,HTMX11,Hotel,"R$ 110,01",2690,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","-28,14%","-28,14%","-32,26%",[object Object],"R$ 164.192.001,82","R$ 130,62",84,"65,00%",23
63137055d2449664b675fdda,10,GSFI11,Shoppings,"R$ 4,51",4247,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,00%","0,03%","0,03%",[object Object],"R$ 1.001.230.351,68","R$ 13,31",34,"10,30%",10
63137055d2449664b675fddb,11,NEWU11,Lajes Corporativas,"R$ 33,85",736,"R$ 0,00","0,00%","0,00%","0,56%","16,63%","0,00%","0,09%","1,39%","-4,04%","-4,04%","-31,62%",[object Object],"R$ 48.010.260,81","R$ 64,70",52,"63,20%",3
63137055d2449664b675fddc,12,PRSV11,Lajes Corporativas,"R$ 115,00",276,"R$ 1,62","0,42%","1,53%","2,91%","5,95%","0,51%","0,48%","0,50%","5,30%","5,74%","-11,25%",[object Object],"R$ 47.475.350,20","R$ 243,46",47,"40,90%",2
63137055d2449664b675fddd,13,FAMB11B,Lajes Corporativas,"R$ 790,00",12,"R$ 9,16","0,56%","2,17%","4,78%","10,43%","0,72%","0,80%","0,87%","-47,80%","-47,51%","-47,80%",[object Object],"R$ 322.048.422,38","R$ 3.072,98",26,"100,00%",1
63137055d2449664b675fdde,14,FMOF11,Lajes Corporativas,"R$ 62,01",34,"R$ 0,64",,,,,,,,,,,[object Object],"R$ 62.318.640,77","R$ 122,67",51,"52,08%",1
63137055d2449664b675fddf,15,HGRS11,Residencial,,,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",[object Object],"R$ 151.091.806,51","R$ 101,20",,,0
63137055d2449664b675fde0,16,KNRE11,Residencial,"R$ 0,93",2991,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",[object Object],"R$ 21.319.344,49","R$ 1,15",81,,0
63137055d2449664b675fde1,17,RBDS11,Residencial,"R$ 3,74",73,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",[object Object],"R$ 2.801.649,45","R$ 22,14",17,,0
63137055d2449664b675fde2,18,WTSP11B,Híbrido,"R$ 35,06",22,"R$ 0,32","0,76%","2,57%","4,67%","6,85%","0,86%","0,78%","0,57%","0,00%","0,76%","0,76%",[object Object],"R$ 81.474.663,30","R$ 82,08",43,,0
63137055d2449664b675fde3,19,OULG11,Outros,"R$ 42,41",825,"R$ 0,17","0,38%","1,14%","3,40%","8,03%","0,38%","0,57%","0,67%","3,09%","3,48%","-3,91%",[object Object],"R$ 180.654.620,72","R$ 72,81",58,"0,00%",2
63137055d2449664b675fde4,20,VXXV11,Outros,"R$ 910,00",5495,"R$ 10,76",,,,,,,,,,,[object Object],"R$ 215.180.987,40","R$ 814,46",112,,0
63137055d2449664b675fde5,21,BICE11,Títulos e Val. Mob.,"R$ 1.000,00",24,"R$ 5,40","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",[object Object],"R$ 20.825.253,17","R$ 988,34",101,,0
63137055d2449664b675fde6,22,HRDF11,Híbrido,"R$ 1,07",2507,"R$ 6,80",,,,,,,,,,,[object Object],"R$ 8.696.803,65","R$ 1,15",93,,0
63137055d2449664b675fde7,23,CJCT11,Lajes Corporativas,"R$ 81,89",1539,"R$ 0,00",,,,,,,,,,,[object Object],"R$ 185.924.372,71","R$ 64,78",126,"59,00%",1
63137055d2449664b675fde8,24,LFTT11,Residencial,"R$ 94,00",2,"R$ 0,75",,,,,,,,,,,,"R$ 387.300.227,89","R$ 53,02",177,,0
63137055d2449664b675fde9,25,HCRI11,Hospital,"R$ 240,98",123,"R$ 2,49","0,88%","2,36%","4,77%","9,33%","0,79%","0,80%","0,78%","-18,08%","-17,35%","-16,74%",[object Object],"R$ 51.810.193,32","R$ 259,05",93,"0,00%",1
63137055d2449664b675fdea,26,DRIT11B,Lajes Corporativas,"R$ 86,00",41,"R$ 0,33","0,28%","0,80%","0,00%","0,00%","0,27%","0,00%","0,00%","5,78%","6,07%","-7,42%",[object Object],"R$ 58.069.142,62","R$ 125,34",69,"10,47%",6
63137055d2449664b675fdeb,27,CTXT11,Lajes Corporativas,"R$ 12,63",134,"R$ 0,09","0,39%","0,78%","1,36%","5,53%","0,26%","0,23%","0,46%","-2,58%","-2,20%","-39,31%",[object Object],"R$ 116.560.622,53","R$ 40,15",31,"97,00%",1
63137055d2449664b675fdec,28,GESE11B,Outros,"R$ 1.520,00",300,"R$ 12,60","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",[object Object],"R$ 86.540.717,02","R$ 1.664,24",91,,0
63137055d2449664b675fded,29,SRVD11,Títulos e Val. Mob.,"R$ 7,10",47,"R$ 0,10","1,01%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,01%","1,01%",[object Object],"R$ 71.733.167,06","R$ 0,75",953,,0
63137055d2449664b675fdee,30,RBIR11,Residencial,"R$ 69,20",4639,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",[object Object],"R$ 146.657.061,56","R$ 95,94",72,,0
63137055d2449664b675fdef,31,CARE11,Híbrido,"R$ 4,07",6878,"R$ 0,00","0,23%","0,66%","1,36%","1,60%","0,22%","0,23%","0,13%","-2,63%","-2,41%","5,65%",[object Object],"R$ 293.084.042,50","R$ 8,19",50,,0
63137055d2449664b675fdf0,32,CXAG11,Outros,"R$ 79,99",2252,"R$ 0,75","0,96%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,65%","1,62%","6,33%",[object Object],"R$ 239.969.301,40","R$ 114,78",70,,0
63137055d2449664b675fdf1,33,VJFD11,Híbrido,,,"R$ 0,86","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",[object Object],"R$ 646.731.025,31","R$ 132,63",,,0
63137055d2449664b675fdf2,34,RBGS11,Shoppings,"R$ 28,45",5157,"R$ 0,18","0,62%","1,59%","2,73%","5,12%","0,53%","0,46%","0,43%","-1,90%","-1,29%","-28,71%",,"R$ 97.865.283,71","R$ 90,78",31,"13,00%",1
63137055d2449664b675fdf3,35,YUFI11B,Residencial,,,"R$ 0,60","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"R$ 41.706.771,81","R$ 105,55",,,0
63137055d2449664b675fdf4,36,BPML11,Shoppings,"R$ 63,26",56,"R$ 0,15","0,23%","0,95%","2,59%","0,00%","0,32%","0,43%","0,00%","-7,36%","-7,14%","1,82%",[object Object],"R$ 540.961.727,13","R$ 125,66",50,"5,80%",7
63137055d2449664b675fdf5,37,TORD11,Outros,"R$ 8,07",64859,"R$ 0,17","1,94%","3,98%","6,33%","12,27%","1,33%","1,06%","1,02%","-6,41%","-4,59%","-3,33%",[object Object],"R$ 494.592.924,55","R$ 14,11",57,,0
63137055d2449664b675fdf6,38,EVBI11,Híbrido,"R$ 98,72",11,"R$ 0,75","0,77%","2,28%","4,69%","9,08%","0,76%","0,78%","0,76%","-1,00%","-0,24%","10,29%",[object Object],"R$ 139.260.195,05","R$ 99,63",99,"0,00%",4
63137055d2449664b675fdf7,39,BBPO11,Lajes Corporativas,"R$ 89,94",16147,"R$ 0,92","1,16%","3,33%","6,35%","11,76%","1,11%","1,06%","0,98%","-1,06%","0,09%","-9,02%",,"R$ 1.593.557.059,28","R$ 100,10",90,"0,00%",64
63137055d2449664b675fdf8,40,EDFO11B,Lajes Corporativas,"R$ 206,79",1,"R$ 1,68","0,88%","2,44%","4,56%","8,36%","0,81%","0,76%","0,70%","-5,48%","-4,65%","-6,92%",,"R$ 45.703.432,14","R$ 193,66",107,"7,10%",1
63137055d2449664b675fdf9,41,VOTS11,Títulos e Val. Mob.,"R$ 88,89",86,"R$ 1,15","1,28%","4,21%","8,26%","13,11%","1,40%","1,38%","1,09%","0,11%","1,39%","17,43%",,"R$ 78.264.582,86","R$ 94,53",94,,0
63137055d2449664b675fdfa,42,BBIM11,Títulos e Val. Mob.,,,"R$ 0,18","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"R$ 44.788.663,66","R$ 43,27",,,0
63137055d2449664b675fdfb,43,RBHY11,Títulos e Val. Mob.,"R$ 97,00",1853,"R$ 1,45","1,47%","4,48%","8,35%","16,32%","1,49%","1,39%","1,36%","-0,68%","0,79%","5,08%",,"R$ 183.783.821,03","R$ 97,06",100,,0
63137055d2449664b675fdfc,44,KNIP11,Títulos e Val. Mob.,"R$ 94,43",89393,"R$ 1,04","1,07%","4,21%","8,25%","16,08%","1,40%","1,37%","1,34%","-4,25%","-3,22%","2,44%",,"R$ 7.610.256.433,21","R$ 94,80",100,,0
63137055d2449664b675fdfd,45,KNHY11,Títulos e Val. Mob.,"R$ 97,84",33006,"R$ 1,16","1,18%","4,08%","7,81%","15,33%","1,36%","1,30%","1,28%","-5,72%","-4,61%","0,36%",,"R$ 1.785.396.476,42","R$ 96,56",101,,0
63137055d2449664b675fdfe,46,KNRI11,Híbrido,"R$ 153,70",19842,"R$ 0,91","0,67%","1,94%","3,76%","7,20%","0,65%","0,63%","0,60%","3,44%","4,13%","7,27%",,"R$ 3.860.148.592,90","R$ 159,79",96,"2,00%",20
63137055d2449664b675fdff,47,KINP11,Residencial,"R$ 14,00",14137,"R$ 0,27","2,04%","7,29%","13,22%","0,00%","2,43%","2,20%","0,00%","0,00%","2,04%","2,81%",,"R$ 42.851.422,47","R$ 5,99",234,,0
63137055d2449664b675fe00,48,VCJR11,Títulos e Val. Mob.,"R$ 91,38",13618,"R$ 1,00","1,07%","4,14%","7,91%","15,83%","1,38%","1,32%","1,32%","-8,03%","-7,04%","4,14%",,"R$ 1.377.026.269,06","R$ 93,52",98,,0
63137055d2449664b675fe01,49,JGPX11,Híbrido,"R$ 98,20",1508,"R$ 0,98","0,99%","3,43%","7,01%","0,00%","1,14%","1,17%","0,00%","-0,20%","0,79%","10,18%",,"R$ 81.070.456,27","R$ 95,59",103,,0
63137055d2449664b675fe02,50,BARI11,Títulos e Val. Mob.,"R$ 98,99",20137,"R$ 1,40","1,40%","4,32%","7,73%","14,54%","1,44%","1,29%","1,21%","-0,65%","0,73%","4,36%",,"R$ 473.301.722,34","R$ 102,13",97,,0
63137055d2449664b675fe03,51,HGRU11,Híbrido,"R$ 125,04",25914,"R$ 0,82","0,69%","2,39%","4,51%","8,38%","0,80%","0,75%","0,70%","0,60%","1,29%","9,50%",,"R$ 2.176.483.482,74","R$ 118,25",106,"0,00%",17
63137055d2449664b675fe04,52,ARRI11,Títulos e Val. Mob.,"R$ 9,37",23520,"R$ 1,31","1,43%","4,11%","8,05%","16,20%","1,37%","1,34%","1,35%","-5,53%","-4,18%","-0,02%",,"R$ 108.835.561,27","R$ 92,37",10,,0
63137055d2449664b675fe05,53,JSAF11,Títulos e Val. Mob.,"R$ 86,90",4717,"R$ 0,93","1,16%","3,40%","6,70%","0,00%","1,13%","1,12%","0,00%","-2,22%","-1,08%","4,54%",,"R$ 151.169.267,42","R$ 96,10",90,,0
63137055d2449664b675fe06,54,XPSF11,Outros,"R$ 7,77",79903,"R$ 0,07","0,99%","2,94%","5,73%","10,95%","0,98%","0,96%","0,91%","1,27%","2,27%","-90,34%",,"R$ 368.560.312,64","R$ 8,51",91,,0
63137055d2449664b675fe07,55,JSRE11,Híbrido,"R$ 87,58",62150,"R$ 0,49","0,65%","1,92%","3,91%","8,01%","0,64%","0,65%","0,67%","-0,32%","0,33%","-0,54%",,"R$ 2.356.969.687,19","R$ 113,49",77,"14,80%",5
63137055d2449664b675fe08,56,ITIT11,Títulos e Val. Mob.,"R$ 72,48",1181,"R$ 0,62","0,87%","2,36%","4,70%","8,81%","0,79%","0,78%","0,73%","-1,31%","-0,44%","3,63%",,"R$ 69.574.525,62","R$ 77,26",94,,0
63137055d2449664b675fe09,57,ITIP11,Títulos e Val. Mob.,"R$ 81,23",820,"R$ 1,02","1,26%","3,73%","7,24%","13,85%","1,24%","1,21%","1,15%","-3,24%","-2,02%","8,23%",,"R$ 64.144.364,89","R$ 85,74",95,,0
63137055d2449664b675fe0a,58,HOSI11,Híbrido,"R$ 65,90",36,"R$ 0,56","0,85%","1,68%","3,17%","6,98%","0,56%","0,53%","0,58%","-5,01%","-4,20%","-6,21%",,"R$ 52.936.715,00","R$ 92,31",71,,2
63137055d2449664b675fe0b,59,CACR11,Híbrido,"R$ 101,28",2264,"R$ 1,52","1,56%","3,17%","7,26%","14,94%","1,06%","1,21%","1,24%","-6,48%","-5,02%","-0,88%",,"R$ 186.160.308,80","R$ 103,00",98,,0
63137055d2449664b675fe0c,60,BPFF11,Títulos e Val. Mob.,"R$ 70,18",2980,"R$ 0,75","1,14%","3,54%","6,40%","11,54%","1,18%","1,07%","0,96%","3,12%","4,29%","3,06%",,"R$ 341.048.446,43","R$ 75,92",92,,0
63137055d2449664b675fe0d,61,LUGG11,Residencial,"R$ 78,50",1281,"R$ 0,56","0,70%","2,06%","4,19%","7,70%","0,69%","0,70%","0,64%","-2,32%","-1,63%","-3,20%",,"R$ 115.057.914,84","R$ 127,84",61,"2,40%",4
63137055d2449664b675fe0e,62,URPR11,Outros,"R$ 103,57",35554,"R$ 1,20","1,10%","4,56%","9,09%","18,27%","1,52%","1,51%","1,52%","-2,71%","-1,64%","0,46%",,"R$ 989.467.692,31","R$ 100,37",103,,0
63137055d2449664b675fe0f,63,HGIC11,Títulos e Val. Mob.,"R$ 109,50",79,"R$ 1,01","0,95%","2,90%","5,75%","11,44%","0,97%","0,96%","0,95%","-5,15%","-4,25%","6,58%",,"R$ 34.174.234,59","R$ 118,50",92,,0
63137055d2449664b675fe10,64,SPVJ11,Outros,,,"R$ 0,68","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"R$ 677.158.890,81","R$ 107,28",,,0
63137055d2449664b675fe11,65,SPTW11,Lajes Corporativas,"R$ 43,17",2769,"R$ 0,40","0,96%","2,81%","5,51%","12,28%","0,94%","0,92%","1,02%","-3,38%","-2,44%","-2,39%",,"R$ 95.270.420,26","R$ 52,99",81,"0,00%",1
63137055d2449664b675fe12,66,PATL11,Híbrido,"R$ 78,30",67472,"R$ 0,58","0,79%","2,30%","4,56%","9,41%","0,77%","0,76%","0,78%","-5,48%","-4,73%","1,88%",,"R$ 488.059.611,03","R$ 97,78",80,"0,00%",4
63137055d2449664b675fe13,67,QAMI11,Híbrido,"R$ 87,55",227,"R$ 1,00","1,14%","4,22%","7,87%","16,30%","1,41%","1,31%","1,36%","-4,46%","-3,37%","-2,77%",,"R$ 73.835.103,76","R$ 92,13",95,,0
63137055d2449664b675fe14,68,PLCR11,Híbrido,"R$ 85,25",2018,"R$ 1,19","1,44%","4,11%","7,74%","14,30%","1,37%","1,29%","1,19%","-2,64%","-1,25%","2,31%",,"R$ 194.176.239,76","R$ 92,06",93,,0
63137055d2449664b675fe15,69,JFLL11,Residencial,"R$ 77,25",678,"R$ 0,62","0,93%","2,71%","5,16%","10,11%","0,90%","0,86%","0,84%","-4,35%","-3,45%","-10,32%",,"R$ 150.564.588,39","R$ 100,34",77,"28,00%",2
63137055d2449664b675fe16,70,STRX11,Híbrido,,,"R$ 0,75","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"R$ 226.966.752,93","R$ 140,66",,,0
63137055d2449664b675fe17,71,RBRS11,Híbrido,"R$ 69,90",1220,"R$ 0,41","0,72%","2,53%","4,60%","8,30%","0,84%","0,77%","0,69%","-1,93%","-1,22%","-11,25%",,"R$ 147.033.252,03","R$ 90,79",77,,0
63137055d2449664b675fe18,72,RNGO11,Lajes Corporativas,"R$ 56,26",1739,"R$ 0,40","0,87%","2,64%","4,88%","8,73%","0,88%","0,81%","0,73%","-0,13%","0,73%","-4,27%",,"R$ 234.662.553,74","R$ 87,69",64,"24,10%",3
63137055d2449664b675fe19,73,RZAG11,Títulos e Val. Mob.,"R$ 10,28",82931,"R$ 0,14","1,33%","3,88%","7,25%","0,00%","1,29%","1,21%","0,00%","0,99%","2,33%","12,43%",,"R$ 289.108.319,33","R$ 9,53",108,,0
63137055d2449664b675fe1a,74,XPCM11,Lajes Corporativas,"R$ 14,42",5100,"R$ 0,12","0,88%","3,04%","6,04%","10,76%","1,01%","1,01%","0,90%","-9,33%","-8,53%","-23,91%",,"R$ 127.310.569,38","R$ 52,73",27,"100,00%",1
63137055d2449664b675fe1b,75,XPHT11,Hotel,"R$ 110,00",90,"R$ 0,54","0,49%","1,21%","1,99%","4,55%","0,40%","0,33%","0,38%","2,09%","2,59%","13,65%",,"R$ 357.911.232,04","R$ 94,07",117,"64,90%",5
63137055d2449664b675fe1c,76,LVBI11,Logística,"R$ 109,90",15656,"R$ 0,74","0,75%","2,23%","4,40%","8,54%","0,74%","0,73%","0,71%","-0,02%","0,73%","4,14%",,"R$ 1.360.439.203,91","R$ 115,53",95,"0,50%",10
63137055d2449664b675fe1d,77,NSLU11,Hospital,"R$ 161,97",4080,"R$ 0,46","0,30%","1,73%","4,40%","9,10%","0,58%","0,73%","0,76%","0,00%","0,30%","1,06%",[object Object],"R$ 238.028.433,66","R$ 207,92",78,"0,00%",1
63137055d2449664b675fe1e,78,PVBI11,Lajes Corporativas,"R$ 97,00",30199,"R$ 0,56","0,61%","1,81%","3,64%","7,41%","0,60%","0,61%","0,62%","-0,41%","0,20%","7,24%",,"R$ 996.236.330,26","R$ 99,23",98,"0,10%",4
63137055d2449664b675fe1f,79,PQDP11,Shoppings,"R$ 2.180,00",81,"R$ 14,24","0,72%","2,12%","4,44%","8,35%","0,71%","0,74%","0,70%","-0,98%","-0,26%","1,92%",,"R$ 815.397.327,57","R$ 3.321,20",66,"3,60%",1
63137055d2449664b675fe20,80,VVPR11,Híbrido,"R$ 99,50",299,"R$ 0,85","0,86%","2,45%","4,95%","9,56%","0,82%","0,83%","0,80%","1,94%","2,81%","11,28%",,"R$ 238.445.073,76","R$ 103,41",96,"0,00%",6
63137055d2449664b675fe21,81,FIIB11,Híbrido,"R$ 479,87",472,"R$ 3,50","0,78%","2,32%","4,49%","8,86%","0,77%","0,75%","0,74%","5,65%","6,47%","1,66%",[object Object],"R$ 312.880.251,65","R$ 456,76",105,"6,28%",1
63137055d2449664b675fe22,82,BBRC11,Outros,"R$ 103,04",632,"R$ 0,99","1,01%","2,99%","5,86%","11,09%","1,00%","0,98%","0,92%","-2,29%","-1,31%","4,50%",,"R$ 169.963.038,66","R$ 106,89",96,"5,37%",20
63137055d2449664b675fe23,83,RBVO11,Outros,"R$ 10,89",171,"R$ 0,03","0,27%","0,72%","1,75%","3,86%","0,24%","0,29%","0,32%","-2,81%","-2,54%","-8,00%",,"R$ 8.932.917,24","R$ 17,32",63,,0
63137055d2449664b675fe24,84,MFII11,Híbrido,"R$ 96,73",4010,"R$ 1,10","1,17%","3,45%","6,74%","13,27%","1,15%","1,12%","1,11%","-1,26%","-0,11%","-7,90%",,"R$ 416.830.531,97","R$ 100,52",96,,9
63137055d2449664b675fe25,85,MFAI11,Híbrido,"R$ 65,15",612,"R$ 0,51","0,83%","2,26%","5,81%","11,73%","0,75%","0,97%","0,98%","-4,65%","-3,86%","-12,28%",,"R$ 22.677.027,07","R$ 73,33",89,,0
63137055d2449664b675fe26,86,RBHG11,Títulos e Val. Mob.,"R$ 88,24",1981,"R$ 1,30","1,50%","4,60%","8,37%","15,66%","1,53%","1,40%","1,31%","-0,62%","0,87%","7,26%",,"R$ 164.896.924,63","R$ 95,45",92,,0
63137055d2449664b675fe27,87,RMAI11,Lajes Corporativas,"R$ 47,52",1064,"R$ 0,26","0,73%","2,29%","4,44%","5,52%","0,76%","0,74%","0,46%","6,32%","7,10%","-6,24%",,"R$ 264.765.842,12","R$ 108,34",44,"23,44%",1
63137055d2449664b675fe28,88,KNCR11,Títulos e Val. Mob.,"R$ 102,56",68329,"R$ 1,15","1,12%","3,21%","5,97%","9,92%","1,07%","0,99%","0,83%","0,52%","1,65%","9,76%",,"R$ 4.447.594.100,11","R$ 101,40",101,,0
63137055d2449664b675fe29,89,KNSC11,Títulos e Val. Mob.,"R$ 85,33",87752,"R$ 0,91","1,00%","3,59%","7,00%","14,86%","1,20%","1,17%","1,24%","-3,01%","-2,04%","-0,42%",,"R$ 1.171.973.199,00","R$ 88,28",97,,0
63137055d2449664b675fe2a,90,KNCA11,Títulos e Val. Mob.,"R$ 106,77",5037,"R$ 1,21","1,14%","3,63%","0,00%","0,00%","1,21%","0,00%","0,00%","-1,05%","0,07%","3,39%",,"R$ 817.507.414,14","R$ 100,93",106,,0
63137055d2449664b675fe2b,91,BCIA11,Títulos e Val. Mob.,"R$ 91,60",3692,"R$ 0,74","0,89%","2,67%","5,14%","9,64%","0,89%","0,86%","0,80%","-0,27%","0,63%","1,23%",,"R$ 381.232.837,73","R$ 102,51",89,,0
63137055d2449664b675fe2c,92,HSML11,Shoppings,"R$ 90,79",24998,"R$ 0,65","0,84%","2,44%","4,71%","8,75%","0,81%","0,78%","0,73%","-0,26%","0,58%","7,76%",,"R$ 1.560.544.208,08","R$ 98,89",92,"4,50%",6
